I,P
-2.0,1.0327579283921336e-8
-1.75,1.1240559645477406e-8
-1.5,1.2197623272441517e-8
-1.25,1.3197897624688424e-8
-1.0,1.4240930118375348e-8
-0.75,1.53267145737282e-8
-0.5,1.6455787054871923e-8
-0.25,1.7629428024409282e-8
0.0,1.8850044589262644e-8
0.25,2.0121882707412392e-8
0.5,2.145238848991446e-8
0.75,2.2854948709846447e-8
1.0,2.4354850599789308e-8
1.25,2.6003736171100147e-8
1.5,2.792062305965121e-8
1.75,3.044050723695925e-8
2.0,3.496479359526058e-8
2.25,0.9998047783188333
2.5,0.9998854266007855
2.75,0.9998555449254042
3.0,0.9999826901982628
3.25,0.9999638621792715
3.5,0.9999549867221665
3.75,0.999989491503467
4.0,0.9999467459331957
4.25,0.9999906910813495
4.5,0.9999811570934297
4.75,0.9999248364551061
5.0,0.9999912541796688
5.25,0.9999892184234853
5.5,0.9999761286123715
5.75,0.9999389122894302
6.0,0.9999867409693195
6.25,0.9999928472001977
6.5,0.9999909380912169
6.75,0.9999855856948464
7.0,0.9999751214715406
7.25,0.9999573730484996
7.5,0.9999587104171741
7.75,0.999989709056003
8.0,0.9999934989209277
8.25,0.999993565055371
8.5,0.9999923616338389
8.75,0.9999901863892418
9.0,0.9999868626399656
9.25,0.999982032814716
9.5,0.9999750839391122
9.75,0.9999661420105597
10.0,0.9999528807744581
10.25,0.9999628032929304
10.5,0.9999858856057685
10.75,0.9999920683959587
11.0,0.9999940150210231
11.25,0.9999945974235123
11.5,0.9999945854430948
11.75,0.9999942323146384
12.0,0.9999936273068513
